Sample ID,SEAL AQ2 Test,Absorbance,Results,Units,Analyst,Man Dil Factor,Auto Dil Factor,Date and Time
ICV,TKN Cu,0.315495,  0.380,mg N_L,zsh,1,1,07/03/2017 12:02:34
MB,TKN Cu,0.252631,  0.057,mg N_L,zsh,1,1,07/03/2017 12:04:18
BS,TKN Cu,0.422073,  0.955,mg N_L,zsh,1,1,07/03/2017 14:52:59
D94814-1,TKN Cu,0.416531, 46.226,mg N_L,zsh,5.00,10.00,07/03/2017 13:41:15
D94821-1,TKN Cu,0.222059, -0.096,mg N_L,zsh,1,1,07/03/2017 12:09:30
D94821-2,TKN Cu,0.298531,  0.292,mg N_L,zsh,1,1,07/03/2017 12:11:15
gp20664-S1,TKN Cu,0.477564,  1.268,mg N_L,zsh,1,1,07/03/2017 12:12:58
D94821-3,TKN Cu,0.299037,  0.294,mg N_L,zsh,1,1,07/03/2017 12:14:42
D94822-1,TKN Cu,0.789743, 79.929,mg N_L,zsh,25.00,1,07/03/2017 12:16:26
D94895-1,TKN Cu,0.375306, 69.879,mg N_L,zsh,10.00,10.00,07/03/2017 13:43:00
D94895-3,TKN Cu,0.529435, 15.685,mg N_L,zsh,1,10.00,07/03/2017 13:44:45
D94824-1,TKN Cu,0.276183,  0.177,mg N_L,zsh,1,1,07/03/2017 12:21:37
D94824-2,TKN Cu,0.295153,  0.274,mg N_L,zsh,1,1,07/03/2017 12:23:21
CCV,TKN Cu,0.589963,  1.929,mg N_L,zsh,1,1,07/03/2017 12:25:04
CCB,TKN Cu,0.250882,  0.048,mg N_L,zsh,1,1,07/03/2017 12:26:47
D94824-3,TKN Cu,0.243705,  0.012,mg N_L,zsh,1,1,07/03/2017 12:28:31
gp20664-S2,TKN Cu,0.440330,  1.057,mg N_L,zsh,1,1,07/03/2017 12:30:16
D94825-1,TKN Cu,0.283831,  0.216,mg N_L,zsh,1,1,07/03/2017 12:32:00
D94825-2,TKN Cu,0.265374,  0.121,mg N_L,zsh,1,1,07/03/2017 12:33:43
D94825-3,TKN Cu,0.271229,  0.151,mg N_L,zsh,1,1,07/03/2017 12:35:26
D94825-4,TKN Cu,0.270965,  0.150,mg N_L,zsh,1,1,07/03/2017 12:37:09
D94896-1,TKN Cu,0.431513, 10.078,mg N_L,zsh,1,10.00,07/03/2017 13:46:34
D94900-1,TKN Cu,0.380728,  0.728,mg N_L,zsh,1,1,07/03/2017 12:40:35
D94900-3,TKN Cu,0.355721,  0.593,mg N_L,zsh,1,1,07/03/2017 12:42:18
D94903-1,TKN Cu,0.432047, 10.108,mg N_L,zsh,1,10.00,07/03/2017 13:48:23
CCV,TKN Cu,0.577890,  1.856,mg N_L,zsh,1,1,07/03/2017 12:45:50
CCB,TKN Cu,0.254151,  0.065,mg N_L,zsh,1,1,07/03/2017 12:47:35
D94846-1,TKN Cu,0.448113, 11.008,mg N_L,zsh,1,10.00,07/03/2017 13:50:08
D94868-1,TKN Cu,0.255540,  0.072,mg N_L,zsh,1,1,07/03/2017 12:51:02
MB,TKN Cu,0.246355,  0.025,mg N_L,zsh,1,1,07/03/2017 12:52:47
BS,TKN Cu,0.432685,  1.014,mg N_L,zsh,1,1,07/03/2017 12:54:30
D94892-2,TKN Cu,0.905945, 19.945,mg N_L,zsh,5.00,1,07/03/2017 12:56:16
D94894-1,TKN Cu,0.444453, 10.803,mg N_L,zsh,1,10.00,07/03/2017 13:51:53
D94917-4,TKN Cu,0.274727,  0.169,mg N_L,zsh,1,1,07/03/2017 12:59:48
D94917-5,TKN Cu,0.268685,  0.138,mg N_L,zsh,1,1,07/03/2017 13:01:35
D94918-1,TKN Cu,0.393035,  7.953,mg N_L,zsh,1,10.00,07/03/2017 13:53:01
